Team,FG,FGA,2PA,3P,3PA,DRB,PTS,Pace,ORtg,eFG%,TS%,TOV%
CHI,34.7,80.2,62.4,6.2,17.8,32.7,93.7,90.2,102.5,0.471,0.518,14.2
PHO,38.7,83.5,58.4,9.3,25.1,31.7,105.2,95.8,109.5,0.519,0.558,14.0
TOR,36.5,81.9,58.5,8.7,23.4,31.1,101.3,91.8,108.8,0.498,0.545,13.2
POR,36.0,80.5,62.1,6.3,18.3,27.2,96.3,87.9,108.8,0.486,0.533,12.6
NYK,42.0,89.4,53.6,12.6,35.7,34.0,116.0,97.1,117.8,0.541,0.577,11.4
SAS,39.0,85.4,61.2,8.5,24.1,33.9,102.7,95.0,107.9,0.507,0.543,12.2
MIN,41.0,86.1,63.6,8.0,22.5,31.6,109.5,96.0,113.4,0.523,0.566,11.4
OKC,39.5,87.4,61.6,8.4,25.8,34.4,106.6,97.8,108.3,0.5,0.54,13.2
GSW,38.2,83.4,63.5,8.0,19.9,34.2,101.2,94.5,106.4,0.506,0.545,14.0
OKC,37.3,79.2,59.3,7.2,20.0,32.7,103.1,93.0,109.8,0.516,0.567,15.3
MIN,41.6,91.0,49.7,14.8,41.3,32.9,115.9,100.9,114.3,0.539,0.573,12.4
CHI,41.7,86.9,58.1,10.6,28.8,33.7,111.6,98.3,113.2,0.541,0.579,11.8
MIL,44.7,91.8,54.7,14.4,37.1,37.8,120.1,102.2,117.2,0.566,0.593,12.0
DEN,42.0,88.9,58.3,11.0,30.6,33.4,111.3,97.1,113.1,0.535,0.567,12.3
DEN,40.7,86.6,55.7,11.5,30.9,33.5,110.0,96.8,112.5,0.536,0.57,13.4
WAS,38.3,82.8,66.0,6.1,16.8,34.2,98.5,93.7,103.7,0.499,0.534,14.0
MIA,37.1,79.0,63.4,5.6,15.6,31.2,98.5,91.2,106.6,0.505,0.549,14.5
MEM,39.0,82.9,71.6,3.8,11.3,29.2,99.9,91.9,107.6,0.493,0.534,13.0
NOH,35.9,78.2,63.2,5.4,15.0,30.1,94.9,88.7,106.2,0.493,0.537,12.8
PHO,42.1,90.1,57.5,12.2,32.6,32.4,113.6,98.2,115.1,0.535,0.57,12.0
BRK,41.5,85.1,51.3,12.8,33.8,32.3,113.4,98.3,115.0,0.562,0.598,12.7
IND,42.1,88.5,60.4,10.2,28.0,34.1,109.4,98.9,110.0,0.534,0.565,12.0
IND,38.3,85.2,62.1,8.1,23.0,33.9,102.2,96.6,104.6,0.497,0.536,13.5
NOP,37.9,82.9,63.6,7.1,19.3,32.0,99.4,91.4,108.2,0.501,0.537,12.5
OKC,38.8,86.8,64.1,7.7,22.7,34.7,104.0,95.7,107.8,0.492,0.532,13.1
CHI,35.7,81.7,66.3,5.4,15.4,30.7,93.2,89.3,103.5,0.47,0.512,13.6
HOU,38.1,82.7,53.8,10.6,28.9,32.3,106.0,96.1,109.7,0.525,0.564,14.9
LAL,37.1,81.0,56.4,8.7,24.6,33.3,102.2,94.4,107.8,0.512,0.548,13.9
MIA,39.2,85.3,50.5,12.0,34.8,30.9,109.5,96.3,113.0,0.53,0.574,12.4
BRK,42.0,88.4,56.7,11.5,31.7,34.1,112.9,99.0,113.6,0.54,0.576,12.5
CLE,39.7,84.6,51.9,11.6,32.8,34.0,107.8,96.1,111.9,0.538,0.571,13.2
MIA,39.5,84.4,49.0,13.4,35.4,35.9,112.0,98.3,112.5,0.547,0.587,13.5
UTA,40.1,85.1,49.9,13.4,35.2,35.8,111.3,98.6,112.3,0.549,0.585,13.7
MIL,39.7,83.0,58.3,8.8,24.7,31.5,106.5,96.2,109.8,0.531,0.571,12.9
MIA,38.8,85.3,54.8,11.0,30.6,34.2,103.4,95.6,106.8,0.52,0.551,13.3
DET,37.9,86.4,60.2,9.0,26.2,33.9,102.0,95.1,106.1,0.491,0.522,12.2
POR,38.6,85.9,57.4,10.5,28.5,33.9,105.1,96.0,108.8,0.511,0.548,13.2
BRK,35.7,77.9,54.5,8.6,23.4,29.4,98.5,91.4,106.7,0.514,0.555,14.1
WAS,38.7,84.4,63.6,7.9,20.8,31.4,100.7,93.2,106.0,0.506,0.538,13.6
