Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Nov 2 2019,8:00p,Toronto Raptors,105,Milwaukee Bucks,115,Box Score,,17637,Fiserv Forum,
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,131,Washington Wizards,109,Box Score,,15150,Capital One Arena,
Sat Nov 2 2019,8:30p,Charlotte Hornets,93,Golden State Warriors,87,Box Score,,18064,Chase Center,
Sat Nov 2 2019,10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,Box Score,,19669,Moda Center,
Sun Nov 3 2019,5:00p,Chicago Bulls,95,Indiana Pacers,108,Box Score,,17073,Bankers Life Fieldhouse,
Sun Nov 3 2019,6:00p,Houston Rockets,100,Miami Heat,129,Box Score,,19724,AmericanAirlines Arena,
Sun Nov 3 2019,6:00p,Sacramento Kings,113,New York Knicks,92,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 3 2019,7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,Box Score,,18610,AT&T Center,
Sun Nov 3 2019,7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,Box Score,,18078,Rocket Mortgage Fieldhouse,
Sun Nov 3 2019,9:00p,Utah Jazz,94,Los Angeles Clippers,105,Box Score,,19068,STAPLES Center,
Mon Nov 4 2019,7:00p,Detroit Pistons,99,Washington Wizards,115,Box Score,,13052,Capital One Arena,
Mon Nov 4 2019,7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,Box Score,,17194,Barclays Center,
Mon Nov 4 2019,8:00p,Houston Rockets,107,Memphis Grizzlies,100,Box Score,,14197,FedEx Forum,
Mon Nov 4 2019,8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,Box Score,,16271,Target Center,
Mon Nov 4 2019,9:00p,Philadelphia 76ers,109,Phoenix Suns,114,Box Score,,14285,Talking Stick Resort Arena,
Mon Nov 4 2019,10:30p,Portland Trail Blazers,118,Golden State Warriors,127,Box Score,,18064,Chase Center,
Tue Nov 5 2019,7:00p,Indiana Pacers,120,Charlotte Hornets,122,Box Score,OT,13341,Spectrum Center,
Tue Nov 5 2019,7:00p,Boston Celtics,119,Cleveland Cavaliers,113,Box Score,,17709,Rocket Mortgage Fieldhouse,
Tue Nov 5 2019,7:30p,San Antonio Spurs,100,Atlanta Hawks,108,Box Score,,14025,State Farm Arena,
Tue Nov 5 2019,8:00p,Los Angeles Lakers,118,Chicago Bulls,112,Box Score,,21193,United Center,
Tue Nov 5 2019,8:00p,Orlando Magic,94,Oklahoma City Thunder,102,Box Score,,18203,Chesapeake Energy Arena,
Tue Nov 5 2019,9:00p,Miami Heat,89,Denver Nuggets,109,Box Score,,18010,Pepsi Center,
Wed Nov 6 2019,7:00p,New York Knicks,102,Detroit Pistons,122,Box Score,,15463,Little Caesars Arena,
Wed Nov 6 2019,7:00p,Washington Wizards,106,Indiana Pacers,121,Box Score,,16171,Bankers Life Fieldhouse,
Wed Nov 6 2019,7:30p,Chicago Bulls,113,Atlanta Hawks,93,Box Score,,15049,State Farm Arena,
Wed Nov 6 2019,7:30p,Golden State Warriors,112,Houston Rockets,129,Box Score,,18055,Toyota Center,
Wed Nov 6 2019,7:30p,Sacramento Kings,120,Toronto Raptors,124,Box Score,,19800,Scotiabank Arena,
Wed Nov 6 2019,8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,Box Score,,13503,FedEx Forum,
Wed Nov 6 2019,8:30p,Orlando Magic,106,Dallas Mavericks,107,Box Score,,19487,American Airlines Center,
Wed Nov 6 2019,9:00p,Philadelphia 76ers,104,Utah Jazz,106,Box Score,,18306,Vivint Smart Home Arena,
Wed Nov 6 2019,10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,Box Score,,19068,STAPLES Center,
Thu Nov 7 2019,8:00p,Boston Celtics,108,Charlotte Hornets,87,Box Score,,18487,Spectrum Center,
Thu Nov 7 2019,8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,Box Score,,18354,AT&T Center,
Thu Nov 7 2019,9:00p,Miami Heat,124,Phoenix Suns,108,Box Score,,15498,Talking Stick Resort Arena,
Thu Nov 7 2019,10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,Box Score,,19068,STAPLES Center,
Fri Nov 8 2019,7:00p,Detroit Pistons,106,Indiana Pacers,112,Box Score,,15544,Bankers Life Fieldhouse,
Fri Nov 8 2019,7:00p,Memphis Grizzlies,86,Orlando Magic,118,Box Score,,17021,Amway Center,
Fri Nov 8 2019,7:00p,Cleveland Cavaliers,113,Washington Wizards,100,Box Score,,16946,Capital One Arena,
Fri Nov 8 2019,7:30p,Sacramento Kings,121,Atlanta Hawks,109,Box Score,,16447,State Farm Arena,
Fri Nov 8 2019,8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,Box Score,OT,15647,Target Center,
Fri Nov 8 2019,8:00p,Toronto Raptors,122,New Orleans Pelicans,104,Box Score,,16337,Smoothie King Center,
Fri Nov 8 2019,8:30p,New York Knicks,106,Dallas Mavericks,102,Box Score,,20257,American Airlines Center,
Fri Nov 8 2019,9:00p,Philadelphia 76ers,97,Denver Nuggets,100,Box Score,,19520,Pepsi Center,
Fri Nov 8 2019,9:00p,Milwaukee Bucks,100,Utah Jazz,103,Box Score,,18306,Vivint Smart Home Arena,
Fri Nov 8 2019,10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,Box Score,,20089,Moda Center,
Fri Nov 8 2019,10:30p,Miami Heat,80,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Sat Nov 9 2019,5:00p,Boston Celtics,135,San Antonio Spurs,115,Box Score,,18354,AT&T Center,
Sat Nov 9 2019,7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,Box Score,,18513,Spectrum Center,
Sat Nov 9 2019,8:00p,Houston Rockets,117,Chicago Bulls,94,Box Score,,20482,United Center,
Sat Nov 9 2019,8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,Box Score,,15753,FedEx Forum,
Sat Nov 9 2019,8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 10 2019,3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,Box Score,OT,13553,Target Center,
Sun Nov 10 2019,6:00p,Indiana Pacers,109,Orlando Magic,102,Box Score,,17118,Amway Center,
Sun Nov 10 2019,6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,Box Score,,20311,Wells Fargo Center,
Sun Nov 10 2019,7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 10 2019,7:30p,Cleveland Cavaliers,108,New York Knicks,87,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 10 2019,8:00p,Brooklyn Nets,112,Phoenix Suns,138,Box Score,,17290,Talking Stick Resort Arena,
Sun Nov 10 2019,9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,Box Score,OT,20041,Moda Center,
Sun Nov 10 2019,9:30p,Toronto Raptors,113,Los Angeles Lakers,104,Box Score,,18997,STAPLES Center,
Mon Nov 11 2019,7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,Box Score,,12526,Little Caesars Arena,
Mon Nov 11 2019,7:30p,Dallas Mavericks,106,Boston Celtics,116,Box Score,,18624,TD Garden,
Mon Nov 11 2019,7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,Box Score,,18627,AT&T Center,
Mon Nov 11 2019,8:00p,Houston Rockets,122,New Orleans Pelicans,116,Box Score,,16695,Smoothie King Center,
Mon Nov 11 2019,10:30p,Utah Jazz,122,Golden State Warriors,108,Box Score,,18064,Chase Center,
Mon Nov 11 2019,10:30p,Toronto Raptors,88,Los Angeles Clippers,98,Box Score,,19068,STAPLES Center,
Tue Nov 12 2019,7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,Box Score,,15838,Bankers Life Fieldhouse,
Tue Nov 12 2019,7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,Box Score,,20294,Wells Fargo Center,
Tue Nov 12 2019,7:30p,Detroit Pistons,108,Miami Heat,117,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 12 2019,8:00p,New York Knicks,102,Chicago Bulls,120,Box Score,,18668,United Center,
Tue Nov 12 2019,9:00p,Atlanta Hawks,125,Denver Nuggets,121,Box Score,,18327,Pepsi Center,
Tue Nov 12 2019,9:00p,Los Angeles Lakers,123,Phoenix Suns,115,Box Score,,18055,Talking Stick Resort Arena,
Tue Nov 12 2019,9:00p,Brooklyn Nets,114,Utah Jazz,119,Box Score,,18306,Vivint Smart Home Arena,
Tue Nov 12 2019,10:00p,Portland Trail Blazers,99,Sacramento Kings,107,Box Score,,16358,Golden 1 Center,
Wed Nov 13 2019,7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,Box Score,,13155,Spectrum Center,
Wed Nov 13 2019,7:00p,Philadelphia 76ers,97,Orlando Magic,112,Box Score,,15113,Amway Center,
Wed Nov 13 2019,7:30p,Washington Wizards,133,Boston Celtics,140,Box Score,,19156,TD Garden,
Wed Nov 13 2019,7:30p,Los Angeles Clippers,93,Houston Rockets,102,Box Score,,18055,Toyota Center,
Wed Nov 13 2019,8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,Box Score,,11581,Target Center,
Wed Nov 13 2019,10:00p,Golden State Warriors,94,Los Angeles Lakers,120,Box Score,,18997,STAPLES Center,
Wed Nov 13 2019,10:00p,Toronto Raptors,114,Portland Trail Blazers,106,Box Score,,19544,Moda Center,
Thu Nov 14 2019,6:00p,Miami Heat,108,Cleveland Cavaliers,97,Box Score,,17374,Rocket Mortgage Fieldhouse,
Thu Nov 14 2019,8:00p,Chicago Bulls,115,Milwaukee Bucks,124,Box Score,,17627,Fiserv Forum,
Thu Nov 14 2019,8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,Box Score,,17147,Smoothie King Center,
Thu Nov 14 2019,8:00p,Dallas Mavericks,103,New York Knicks,106,Box Score,,19812,Madison Square Garden (IV),
Thu Nov 14 2019,9:00p,Atlanta Hawks,112,Phoenix Suns,128,Box Score,,15143,Talking Stick Resort Arena,
Thu Nov 14 2019,10:30p,Brooklyn Nets,93,Denver Nuggets,101,Box Score,,18394,Pepsi Center,
Fri Nov 15 2019,7:00p,Detroit Pistons,106,Charlotte Hornets,109,Box Score,,16778,Spectrum Center,
Fri Nov 15 2019,7:00p,San Antonio Spurs,109,Orlando Magic,111,Box Score,,16296,Amway Center,
Fri Nov 15 2019,8:00p,Indiana Pacers,102,Houston Rockets,111,Box Score,,18055,Toyota Center,
Fri Nov 15 2019,8:00p,Utah Jazz,106,Memphis Grizzlies,107,Box Score,,16422,FedEx Forum,
Fri Nov 15 2019,8:00p,Washington Wizards,137,Minnesota Timberwolves,116,Box Score,,12716,Target Center,
Fri Nov 15 2019,8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,Box Score,OT,18203,Chesapeake Energy Arena,
Fri Nov 15 2019,10:30p,Boston Celtics,105,Golden State Warriors,100,Box Score,,18064,Chase Center,
Fri Nov 15 2019,10:30p,Sacramento Kings,97,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,
Sat Nov 16 2019,6:00p,Brooklyn Nets,117,Chicago Bulls,111,Box Score,,19148,United Center,
Sat Nov 16 2019,7:00p,Milwaukee Bucks,102,Indiana Pacers,83,Box Score,,17024,Bankers Life Fieldhouse,
Sat Nov 16 2019,7:30p,Charlotte Hornets,103,New York Knicks,102,Box Score,,19401,Madison Square Garden (IV),
Sat Nov 16 2019,8:00p,New Orleans Pelicans,94,Miami Heat,109,Box Score,,19600,AmericanAirlines Arena,
Sat Nov 16 2019,8:00p,Houston Rockets,125,Minnesota Timberwolves,105,Box Score,,18978,Target Center,
Sat Nov 16 2019,8:30p,Toronto Raptors,102,Dallas Mavericks,110,Box Score,,19926,American Airlines Center,
Sat Nov 16 2019,8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,Box Score,,18534,AT&T Center,
Sat Nov 16 2019,10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,Box Score,,19068,STAPLES Center,
Sun Nov 17 2019,3:00p,Philadelphia 76ers,114,Cleveland Cavaliers,95,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Nov 17 2019,3:30p,Boston Celtics,99,Sacramento Kings,100,Box Score,,16633,Golden 1 Center,
Sun Nov 17 2019,6:00p,Denver Nuggets,131,Memphis Grizzlies,114,Box Score,,14227,FedEx Forum,
Sun Nov 17 2019,6:00p,Washington Wizards,121,Orlando Magic,125,Box Score,,16344,Amway Center,
Sun Nov 17 2019,7:00p,Golden State Warriors,100,New Orleans Pelicans,108,Box Score,,16812,Smoothie King Center,
Sun Nov 17 2019,9:30p,Atlanta Hawks,101,Los Angeles Lakers,122,Box Score,,18997,STAPLES Center,
