,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
1450,LAL,119.0,46.0,92.0,65.0,11.0,27.0,0.56,Home,115.5,0.239,0.293,0.585,0.174,113.5,0.253,0.411,0.554,0.516,0.2
1451,BRK,119.0,46.0,76.0,50.0,9.0,26.0,0.664,Away,125.1,0.303,0.342,0.691,0.237,121.9,0.345,0.286,0.599,0.542,0.298
1452,GSW,119.0,40.0,86.0,53.0,14.0,33.0,0.547,Away,111.1,0.337,0.384,0.602,0.291,116.7,0.287,0.448,0.638,0.598,0.241
1453,LAC,119.0,45.0,93.0,57.0,15.0,36.0,0.565,Away,120.0,0.226,0.387,0.582,0.151,118.0,0.173,0.347,0.555,0.541,0.112
1454,WAS,119.0,49.0,105.0,66.0,10.0,39.0,0.514,Home,109.0,0.143,0.371,0.533,0.105,119.1,0.229,0.271,0.615,0.594,0.167
1455,IND,119.0,40.0,92.0,58.0,12.0,34.0,0.5,Away,105.7,0.359,0.37,0.559,0.293,123.4,0.446,0.41,0.7,0.645,0.386
1456,GSW,119.0,42.0,87.0,37.0,20.0,50.0,0.598,Home,110.3,0.264,0.575,0.613,0.172,102.9,0.258,0.29,0.536,0.511,0.172
1457,OKC,119.0,48.0,94.0,67.0,9.0,27.0,0.559,Home,122.0,0.223,0.287,0.576,0.149,113.8,0.272,0.402,0.539,0.5,0.207
1458,CHI,119.0,44.0,101.0,68.0,12.0,33.0,0.495,Away,109.4,0.228,0.327,0.535,0.188,113.1,0.337,0.305,0.564,0.5,0.295
1459,OKC,119.0,43.0,88.0,64.0,8.0,24.0,0.534,Home,116.5,0.364,0.273,0.583,0.284,126.3,0.206,0.351,0.61,0.582,0.165
1460,MIL,119.0,47.0,86.0,58.0,9.0,28.0,0.599,Home,118.8,0.291,0.326,0.613,0.186,110.8,0.204,0.312,0.548,0.516,0.161
1461,LAC,119.0,44.0,81.0,41.0,21.0,40.0,0.673,Home,129.3,0.235,0.494,0.666,0.123,105.4,0.241,0.299,0.504,0.454,0.207
1462,GSW,119.0,42.0,92.0,50.0,18.0,42.0,0.554,Away,112.7,0.185,0.457,0.598,0.185,123.2,0.291,0.465,0.67,0.634,0.244
1463,NOP,119.0,42.0,86.0,57.0,8.0,29.0,0.535,Home,120.3,0.36,0.337,0.597,0.314,107.2,0.228,0.456,0.61,0.582,0.177
1464,IND,119.0,45.0,96.0,54.0,14.0,42.0,0.542,Home,110.6,0.198,0.438,0.57,0.156,113.4,0.295,0.318,0.613,0.557,0.273
1465,ATL,119.0,51.0,109.0,81.0,8.0,28.0,0.505,Home,115.3,0.101,0.257,0.523,0.083,121.1,0.255,0.415,0.598,0.559,0.213
1466,LAC,119.0,40.0,79.0,41.0,17.0,38.0,0.614,Home,123.9,0.354,0.481,0.652,0.278,121.8,0.253,0.398,0.634,0.614,0.181
1467,CHI,119.0,43.0,83.0,55.0,11.0,28.0,0.584,Away,113.9,0.301,0.337,0.633,0.265,117.7,0.47,0.373,0.614,0.548,0.386
1468,SAC,119.0,42.0,76.0,45.0,14.0,31.0,0.645,Home,119.4,0.382,0.408,0.67,0.276,113.4,0.348,0.315,0.55,0.489,0.292
1469,MIL,119.0,42.0,109.0,64.0,13.0,45.0,0.445,Home,115.3,0.248,0.413,0.492,0.202,104.6,0.344,0.376,0.504,0.462,0.237
1470,TOR,119.0,46.0,84.0,47.0,16.0,37.0,0.643,Home,128.0,0.167,0.44,0.66,0.131,117.3,0.241,0.456,0.624,0.608,0.165
1471,MIA,119.0,44.0,87.0,49.0,15.0,38.0,0.592,Away,125.8,0.218,0.437,0.624,0.184,103.6,0.333,0.474,0.548,0.513,0.231
1472,TOR,119.0,45.0,91.0,58.0,15.0,33.0,0.577,Home,126.3,0.198,0.363,0.601,0.154,121.0,0.333,0.48,0.663,0.62,0.28
1473,LAC,119.0,45.0,95.0,51.0,21.0,44.0,0.584,Home,127.9,0.105,0.463,0.599,0.084,107.5,0.31,0.276,0.506,0.454,0.241
1474,CLE,119.0,44.0,81.0,47.0,15.0,34.0,0.636,Away,129.2,0.259,0.42,0.659,0.198,109.6,0.442,0.39,0.549,0.487,0.338
1475,MIL,119.0,50.0,94.0,69.0,8.0,25.0,0.574,Home,117.5,0.191,0.266,0.584,0.117,151.1,0.261,0.467,0.746,0.734,0.196
1476,BRK,119.0,45.0,97.0,60.0,18.0,37.0,0.557,Home,105.2,0.165,0.381,0.572,0.113,106.1,0.382,0.461,0.577,0.517,0.315
1477,CHO,119.0,42.0,98.0,66.0,17.0,32.0,0.515,Away,119.5,0.235,0.327,0.55,0.184,110.4,0.268,0.351,0.507,0.479,0.175
1478,POR,119.0,37.0,88.0,60.0,8.0,28.0,0.466,Away,116.9,0.557,0.318,0.543,0.42,113.0,0.482,0.412,0.558,0.476,0.4
1479,MIL,119.0,43.0,97.0,45.0,19.0,52.0,0.541,Away,115.3,0.175,0.536,0.569,0.144,133.7,0.283,0.511,0.667,0.63,0.239
1480,LAL,119.0,48.0,91.0,56.0,13.0,35.0,0.599,Away,123.3,0.121,0.385,0.621,0.11,131.6,0.365,0.365,0.644,0.594,0.306
1481,CLE,119.0,44.0,98.0,61.0,14.0,37.0,0.52,Home,115.7,0.265,0.378,0.544,0.173,112.8,0.196,0.359,0.58,0.554,0.152
1482,IND,119.0,45.0,92.0,56.0,14.0,36.0,0.565,Away,118.8,0.163,0.391,0.603,0.163,107.8,0.157,0.333,0.495,0.466,0.127
1483,TOR,119.0,41.0,85.0,55.0,11.0,30.0,0.547,Away,127.1,0.329,0.353,0.611,0.306,111.1,0.238,0.381,0.56,0.506,0.226
1484,CLE,119.0,44.0,82.0,54.0,10.0,28.0,0.598,Away,126.5,0.293,0.341,0.643,0.256,132.8,0.427,0.44,0.702,0.64,0.387
1485,MIA,119.0,44.0,97.0,53.0,21.0,44.0,0.562,Away,116.9,0.124,0.454,0.582,0.103,117.9,0.297,0.396,0.583,0.527,0.264
1486,CHO,119.0,43.0,85.0,47.0,17.0,38.0,0.606,Away,124.6,0.259,0.447,0.628,0.188,102.6,0.266,0.392,0.555,0.532,0.177
1487,OKC,119.0,44.0,87.0,58.0,16.0,29.0,0.598,Away,117.4,0.241,0.333,0.618,0.172,105.6,0.189,0.511,0.549,0.511,0.167
1488,ORL,119.0,45.0,96.0,59.0,12.0,37.0,0.531,Home,118.5,0.229,0.385,0.563,0.177,102.6,0.347,0.5,0.62,0.59,0.25
1489,ORL,119.0,42.0,83.0,47.0,13.0,36.0,0.584,Home,115.0,0.349,0.434,0.621,0.265,107.3,0.213,0.5,0.54,0.543,0.096
1490,MIN,119.0,43.0,93.0,51.0,16.0,42.0,0.548,Home,119.0,0.269,0.452,0.572,0.183,114.0,0.408,0.316,0.493,0.434,0.296
1491,MEM,119.0,37.0,85.0,55.0,11.0,30.0,0.5,Home,122.8,0.494,0.353,0.575,0.4,126.9,0.376,0.376,0.621,0.582,0.282
1492,IND,119.0,47.0,93.0,52.0,17.0,41.0,0.597,Away,116.6,0.204,0.441,0.587,0.086,125.4,0.349,0.337,0.645,0.616,0.256
1493,LAC,119.0,48.0,85.0,51.0,15.0,34.0,0.653,Home,122.8,0.176,0.4,0.65,0.094,107.3,0.151,0.477,0.567,0.547,0.116
1494,DET,119.0,48.0,102.0,67.0,12.0,35.0,0.529,Home,109.2,0.176,0.343,0.541,0.108,129.4,0.237,0.433,0.658,0.649,0.155
1495,MIN,119.0,44.0,98.0,52.0,16.0,46.0,0.531,Away,112.9,0.184,0.469,0.562,0.153,125.2,0.29,0.323,0.629,0.581,0.258
1496,PHI,119.0,45.0,84.0,60.0,12.0,24.0,0.607,Away,125.6,0.25,0.286,0.638,0.202,114.0,0.321,0.321,0.584,0.525,0.284
1497,ORL,119.0,42.0,95.0,60.0,11.0,35.0,0.5,Away,111.3,0.274,0.368,0.559,0.253,110.3,0.235,0.327,0.546,0.52,0.163
1498,MEM,119.0,47.0,102.0,72.0,6.0,30.0,0.49,Away,108.0,0.275,0.294,0.52,0.186,110.8,0.15,0.31,0.572,0.545,0.13
1499,ORL,119.0,41.0,83.0,58.0,12.0,25.0,0.566,Home,122.4,0.313,0.301,0.63,0.301,106.0,0.425,0.333,0.499,0.425,0.333
1500,MEM,119.0,46.0,82.0,59.0,9.0,23.0,0.616,Home,122.4,0.293,0.28,0.643,0.22,112.2,0.247,0.541,0.578,0.535,0.212
1501,BRK,119.0,47.0,89.0,64.0,8.0,25.0,0.573,Away,121.6,0.225,0.281,0.608,0.191,120.6,0.372,0.337,0.59,0.535,0.302
1502,MEM,119.0,47.0,92.0,67.0,10.0,25.0,0.565,Home,112.6,0.217,0.272,0.59,0.163,100.3,0.163,0.337,0.538,0.505,0.141
1503,MIN,119.0,45.0,91.0,48.0,16.0,43.0,0.582,Home,114.2,0.22,0.473,0.596,0.143,95.0,0.354,0.512,0.522,0.47,0.268
1504,BOS,119.0,40.0,78.0,40.0,18.0,38.0,0.628,Away,130.6,0.321,0.487,0.669,0.269,109.8,0.233,0.419,0.527,0.506,0.151
1505,LAL,119.0,45.0,97.0,64.0,14.0,33.0,0.536,Home,118.5,0.196,0.34,0.565,0.155,126.5,0.372,0.349,0.634,0.61,0.256
1506,SAS,119.0,46.0,107.0,75.0,13.0,32.0,0.491,Away,105.0,0.168,0.299,0.518,0.131,106.7,0.224,0.286,0.562,0.52,0.194
1507,PHI,119.0,45.0,87.0,64.0,8.0,23.0,0.563,Home,121.4,0.31,0.264,0.602,0.241,102.0,0.217,0.326,0.496,0.462,0.163
1508,WAS,119.0,46.0,87.0,60.0,6.0,27.0,0.563,Home,116.1,0.299,0.31,0.604,0.241,117.1,0.298,0.405,0.632,0.589,0.25
1509,MIA,119.0,41.0,92.0,58.0,16.0,34.0,0.533,Home,127.8,0.25,0.37,0.583,0.228,120.2,0.165,0.494,0.614,0.594,0.129
1510,TOR,119.0,45.0,90.0,52.0,14.0,38.0,0.578,Home,123.8,0.256,0.422,0.594,0.167,104.1,0.266,0.456,0.567,0.538,0.19
1511,CLE,119.0,45.0,90.0,45.0,16.0,45.0,0.589,Away,123.2,0.156,0.5,0.619,0.144,93.2,0.124,0.427,0.48,0.461,0.09
1512,SAC,119.0,45.0,82.0,56.0,8.0,26.0,0.598,Home,120.8,0.354,0.317,0.628,0.256,106.6,0.236,0.27,0.534,0.5,0.18
1513,WAS,119.0,42.0,88.0,56.0,12.0,32.0,0.545,Away,118.3,0.318,0.364,0.593,0.261,115.3,0.443,0.304,0.614,0.551,0.367
1514,LAC,119.0,41.0,81.0,46.0,16.0,35.0,0.605,Away,127.5,0.296,0.432,0.65,0.259,123.3,0.233,0.367,0.579,0.567,0.144
1515,CHI,119.0,44.0,89.0,60.0,11.0,29.0,0.556,Away,121.2,0.236,0.326,0.606,0.225,117.1,0.329,0.317,0.612,0.567,0.268
1516,CHO,119.0,42.0,88.0,49.0,18.0,39.0,0.58,Away,118.8,0.239,0.443,0.612,0.193,132.8,0.213,0.337,0.683,0.674,0.146
1517,POR,119.0,45.0,88.0,49.0,15.0,39.0,0.597,Home,129.8,0.227,0.443,0.615,0.159,109.1,0.141,0.423,0.604,0.583,0.115
1518,MEM,119.0,42.0,95.0,60.0,13.0,35.0,0.511,Away,121.9,0.284,0.368,0.557,0.232,120.9,0.287,0.494,0.602,0.569,0.218
1519,GSW,119.0,39.0,79.0,34.0,22.0,45.0,0.633,Home,123.9,0.304,0.57,0.664,0.241,108.3,0.202,0.374,0.482,0.47,0.111
1520,UTA,119.0,44.0,80.0,34.0,19.0,46.0,0.669,Home,123.9,0.163,0.575,0.694,0.15,107.2,0.181,0.404,0.507,0.468,0.16
1521,PHO,119.0,46.0,94.0,57.0,18.0,37.0,0.585,Away,114.1,0.096,0.394,0.607,0.096,90.2,0.235,0.337,0.435,0.413,0.133
1522,GSW,119.0,45.0,93.0,47.0,15.0,46.0,0.565,Home,119.0,0.172,0.495,0.595,0.151,93.0,0.282,0.346,0.53,0.487,0.218
1523,PHO,119.0,49.0,94.0,66.0,11.0,28.0,0.58,Home,122.9,0.128,0.298,0.599,0.106,112.6,0.176,0.33,0.556,0.522,0.154
1524,UTA,119.0,43.0,98.0,50.0,14.0,48.0,0.51,Home,111.7,0.276,0.49,0.541,0.194,106.1,0.258,0.333,0.546,0.516,0.183
1525,LAL,119.0,49.0,93.0,68.0,6.0,25.0,0.559,Home,112.1,0.215,0.269,0.584,0.161,110.2,0.132,0.462,0.608,0.615,0.055
1526,MIL,119.0,41.0,85.0,53.0,11.0,32.0,0.547,Away,116.3,0.365,0.376,0.603,0.306,106.5,0.189,0.4,0.559,0.522,0.167
1527,GSW,119.0,43.0,97.0,60.0,13.0,37.0,0.51,Away,122.1,0.247,0.381,0.553,0.206,109.8,0.151,0.535,0.583,0.576,0.093
1528,UTA,118.0,44.0,100.0,65.0,11.0,35.0,0.495,Home,110.3,0.23,0.35,0.536,0.19,106.5,0.267,0.511,0.567,0.539,0.189
1529,CLE,118.0,46.0,88.0,50.0,18.0,38.0,0.625,Away,119.6,0.102,0.432,0.642,0.091,95.3,0.229,0.47,0.514,0.476,0.181
1530,LAL,118.0,45.0,89.0,60.0,12.0,29.0,0.573,Away,117.4,0.27,0.326,0.593,0.18,124.3,0.329,0.439,0.666,0.622,0.28
1531,MIA,118.0,41.0,80.0,44.0,13.0,36.0,0.594,Away,129.6,0.325,0.45,0.645,0.288,115.3,0.37,0.384,0.619,0.568,0.301
1532,OKC,118.0,36.0,88.0,56.0,11.0,32.0,0.472,Home,120.3,0.466,0.364,0.556,0.398,130.5,0.346,0.42,0.686,0.648,0.284
1533,NYK,118.0,46.0,88.0,56.0,13.0,32.0,0.597,Home,119.9,0.205,0.364,0.615,0.148,110.8,0.228,0.468,0.627,0.595,0.19
1534,CLE,118.0,47.0,93.0,68.0,9.0,25.0,0.554,Away,119.7,0.237,0.269,0.575,0.161,121.7,0.371,0.303,0.58,0.528,0.292
1535,CHI,118.0,47.0,87.0,56.0,14.0,31.0,0.621,Away,125.0,0.149,0.356,0.636,0.115,114.4,0.373,0.48,0.618,0.593,0.253
1536,OKC,118.0,41.0,94.0,59.0,12.0,35.0,0.5,Away,118.3,0.298,0.372,0.555,0.255,112.3,0.329,0.39,0.597,0.561,0.244
1537,TOR,118.0,41.0,92.0,55.0,13.0,37.0,0.516,Home,120.9,0.315,0.402,0.563,0.25,99.4,0.411,0.342,0.563,0.507,0.315
1538,DEN,118.0,42.0,83.0,51.0,15.0,32.0,0.596,Away,132.9,0.253,0.386,0.64,0.229,117.1,0.184,0.299,0.553,0.529,0.138
1539,IND,118.0,43.0,77.0,56.0,11.0,21.0,0.63,Away,120.7,0.325,0.273,0.67,0.273,116.6,0.438,0.382,0.537,0.478,0.326
1540,ATL,118.0,48.0,101.0,79.0,5.0,22.0,0.5,Away,118.0,0.198,0.218,0.537,0.168,126.0,0.17,0.298,0.624,0.617,0.106
1541,MIL,118.0,43.0,82.0,37.0,16.0,45.0,0.622,Home,121.4,0.256,0.549,0.647,0.195,114.2,0.121,0.343,0.532,0.515,0.091
1542,WAS,118.0,41.0,91.0,55.0,13.0,36.0,0.522,Home,121.7,0.297,0.396,0.573,0.253,136.1,0.267,0.43,0.687,0.686,0.163
1543,UTA,118.0,42.0,97.0,56.0,17.0,41.0,0.521,Home,125.3,0.227,0.423,0.553,0.175,124.2,0.182,0.58,0.616,0.602,0.125
1544,PHI,118.0,39.0,75.0,39.0,17.0,36.0,0.633,Away,131.1,0.36,0.48,0.679,0.307,121.1,0.259,0.482,0.576,0.553,0.176
1545,MIL,118.0,44.0,104.0,54.0,19.0,50.0,0.514,Home,114.2,0.135,0.481,0.536,0.106,109.4,0.163,0.346,0.507,0.462,0.163
1546,BRK,118.0,40.0,81.0,41.0,15.0,40.0,0.586,Away,121.6,0.358,0.494,0.629,0.284,99.0,0.289,0.313,0.513,0.476,0.205
1547,DEN,118.0,43.0,86.0,53.0,13.0,33.0,0.576,Home,123.3,0.267,0.384,0.614,0.221,118.1,0.233,0.314,0.596,0.558,0.198
1548,CLE,118.0,43.0,96.0,62.0,12.0,34.0,0.51,Home,113.1,0.26,0.354,0.551,0.208,109.3,0.208,0.475,0.517,0.495,0.139
1549,BRK,118.0,42.0,90.0,51.0,15.0,39.0,0.55,Away,112.6,0.222,0.433,0.597,0.211,135.5,0.236,0.393,0.723,0.719,0.157
1550,MIL,118.0,50.0,102.0,65.0,14.0,37.0,0.559,Away,108.6,0.118,0.363,0.55,0.039,95.7,0.301,0.434,0.553,0.506,0.241
1551,CLE,118.0,44.0,84.0,48.0,18.0,36.0,0.631,Home,123.7,0.167,0.429,0.654,0.143,97.5,0.161,0.269,0.467,0.435,0.129
1552,UTA,118.0,43.0,92.0,64.0,10.0,28.0,0.522,Home,116.0,0.304,0.304,0.566,0.239,100.2,0.216,0.351,0.48,0.438,0.175
1553,PHI,118.0,39.0,78.0,51.0,13.0,27.0,0.583,Home,131.5,0.372,0.346,0.65,0.346,124.8,0.305,0.366,0.602,0.561,0.244
1554,DEN,118.0,48.0,84.0,53.0,11.0,31.0,0.637,Home,122.4,0.179,0.369,0.651,0.131,113.1,0.238,0.464,0.587,0.548,0.202
1555,DET,118.0,40.0,79.0,45.0,13.0,34.0,0.589,Away,121.9,0.405,0.43,0.634,0.316,123.0,0.414,0.345,0.579,0.546,0.276
1556,CLE,118.0,48.0,85.0,57.0,10.0,28.0,0.624,Away,129.8,0.176,0.329,0.644,0.141,117.7,0.305,0.293,0.575,0.53,0.244
1557,UTA,118.0,44.0,105.0,71.0,12.0,34.0,0.476,Home,118.0,0.2,0.324,0.516,0.171,143.0,0.082,0.439,0.704,0.689,0.082
1558,WAS,118.0,44.0,87.0,50.0,15.0,37.0,0.592,Home,122.8,0.195,0.425,0.624,0.172,108.3,0.226,0.333,0.509,0.468,0.183
1559,DET,118.0,44.0,86.0,54.0,14.0,32.0,0.593,Home,112.4,0.267,0.372,0.614,0.186,106.7,0.333,0.378,0.543,0.494,0.256
1560,SAC,118.0,47.0,99.0,69.0,9.0,30.0,0.52,Away,107.2,0.222,0.303,0.543,0.152,100.8,0.272,0.424,0.539,0.533,0.141
1561,SAS,118.0,48.0,109.0,80.0,10.0,29.0,0.486,Home,111.5,0.156,0.266,0.507,0.11,120.9,0.252,0.233,0.559,0.524,0.194
1562,ATL,118.0,45.0,83.0,58.0,11.0,25.0,0.608,Home,116.3,0.241,0.301,0.643,0.205,120.2,0.247,0.382,0.618,0.579,0.213
1563,ORL,118.0,42.0,90.0,56.0,14.0,34.0,0.544,Away,116.7,0.267,0.378,0.587,0.222,136.5,0.263,0.358,0.651,0.632,0.189
1564,SAC,118.0,41.0,87.0,49.0,12.0,38.0,0.54,Home,120.8,0.322,0.437,0.594,0.276,115.6,0.118,0.43,0.577,0.57,0.075
1565,GSW,118.0,40.0,100.0,48.0,18.0,52.0,0.49,Away,102.4,0.23,0.52,0.536,0.2,105.0,0.278,0.38,0.499,0.458,0.204
1566,MIN,118.0,42.0,81.0,49.0,12.0,32.0,0.593,Away,119.7,0.346,0.395,0.632,0.272,123.8,0.376,0.247,0.616,0.576,0.282
1567,WAS,118.0,42.0,86.0,51.0,14.0,35.0,0.57,Home,116.7,0.267,0.407,0.614,0.233,125.6,0.231,0.484,0.633,0.593,0.209
1568,CHO,118.0,41.0,90.0,59.0,13.0,31.0,0.528,Home,128.8,0.333,0.344,0.572,0.256,141.9,0.287,0.494,0.663,0.609,0.276
1569,GSW,118.0,41.0,83.0,32.0,21.0,51.0,0.62,Away,111.2,0.265,0.614,0.637,0.181,124.3,0.253,0.411,0.625,0.584,0.221
1570,PHI,118.0,40.0,89.0,50.0,17.0,39.0,0.545,Away,122.1,0.292,0.438,0.587,0.236,121.0,0.256,0.444,0.584,0.544,0.211
1571,MIN,118.0,43.0,88.0,55.0,16.0,33.0,0.58,Away,118.4,0.239,0.375,0.607,0.182,135.4,0.35,0.4,0.731,0.706,0.275
1572,UTA,118.0,45.0,88.0,56.0,10.0,32.0,0.568,Away,111.6,0.25,0.364,0.604,0.205,116.3,0.216,0.373,0.551,0.525,0.157
1573,UTA,118.0,46.0,93.0,52.0,12.0,41.0,0.559,Away,117.7,0.194,0.441,0.585,0.151,125.7,0.386,0.337,0.649,0.608,0.301
1574,WAS,118.0,50.0,94.0,67.0,7.0,27.0,0.569,Away,114.9,0.17,0.287,0.584,0.117,92.5,0.156,0.51,0.463,0.422,0.146
1575,MEM,118.0,46.0,100.0,68.0,10.0,32.0,0.51,Home,119.2,0.24,0.32,0.534,0.16,109.1,0.156,0.448,0.526,0.484,0.156
1576,GSW,118.0,42.0,91.0,48.0,17.0,43.0,0.555,Home,125.5,0.231,0.473,0.589,0.187,119.1,0.253,0.429,0.554,0.527,0.176
1577,DET,118.0,41.0,86.0,47.0,17.0,39.0,0.576,Away,124.3,0.279,0.453,0.611,0.221,139.1,0.163,0.293,0.669,0.641,0.152
1578,MIN,118.0,42.0,83.0,54.0,10.0,29.0,0.566,Away,116.8,0.386,0.349,0.608,0.289,117.8,0.531,0.284,0.595,0.549,0.37
1579,CHI,118.0,45.0,92.0,57.0,13.0,35.0,0.56,Home,117.7,0.228,0.38,0.583,0.163,132.7,0.244,0.489,0.667,0.65,0.178
1580,MIL,118.0,42.0,84.0,48.0,13.0,36.0,0.577,Away,117.3,0.321,0.429,0.615,0.25,138.2,0.294,0.459,0.724,0.7,0.235
1581,TOR,118.0,42.0,84.0,47.0,19.0,37.0,0.613,Away,122.3,0.214,0.44,0.642,0.179,110.9,0.395,0.434,0.6,0.586,0.237
1582,BRK,118.0,46.0,93.0,61.0,14.0,32.0,0.57,Home,123.5,0.14,0.344,0.598,0.129,104.7,0.262,0.44,0.534,0.494,0.202
1583,CHI,118.0,45.0,93.0,62.0,14.0,31.0,0.559,Away,127.4,0.194,0.333,0.585,0.151,126.4,0.302,0.407,0.6,0.593,0.174
1584,PHO,118.0,39.0,83.0,42.0,15.0,41.0,0.56,Home,126.0,0.422,0.494,0.6,0.301,121.8,0.169,0.39,0.689,0.675,0.13
1585,PHI,118.0,39.0,85.0,47.0,15.0,38.0,0.547,Home,116.9,0.365,0.447,0.598,0.294,105.0,0.138,0.457,0.531,0.505,0.117
1586,CLE,118.0,38.0,76.0,45.0,14.0,31.0,0.592,Home,130.3,0.421,0.408,0.655,0.368,123.7,0.238,0.45,0.634,0.594,0.213
1587,LAL,118.0,44.0,93.0,64.0,8.0,29.0,0.516,Home,108.5,0.323,0.312,0.556,0.237,112.1,0.154,0.462,0.549,0.534,0.106
1588,MIN,118.0,45.0,83.0,60.0,10.0,23.0,0.602,Away,119.2,0.289,0.277,0.631,0.217,125.2,0.337,0.41,0.65,0.596,0.301
1589,MIN,118.0,42.0,79.0,44.0,14.0,35.0,0.62,Away,119.8,0.329,0.443,0.652,0.253,109.7,0.267,0.489,0.537,0.506,0.189
1590,SAS,118.0,46.0,83.0,47.0,13.0,36.0,0.633,Home,121.1,0.181,0.434,0.658,0.157,111.8,0.153,0.296,0.521,0.5,0.112
1591,LAC,118.0,41.0,89.0,58.0,13.0,31.0,0.534,Away,121.4,0.315,0.348,0.582,0.258,115.2,0.167,0.389,0.58,0.561,0.122
1592,HOU,118.0,45.0,86.0,50.0,18.0,36.0,0.628,Home,114.6,0.163,0.419,0.64,0.116,102.0,0.237,0.454,0.49,0.443,0.196
1593,UTA,118.0,46.0,97.0,52.0,11.0,45.0,0.531,Away,116.5,0.175,0.464,0.565,0.155,127.3,0.059,0.446,0.622,0.614,0.05
1594,CHI,118.0,43.0,87.0,45.0,18.0,42.0,0.598,Away,114.3,0.207,0.483,0.622,0.161,109.4,0.278,0.422,0.559,0.522,0.211
1595,UTA,118.0,42.0,91.0,52.0,14.0,39.0,0.538,Away,118.3,0.253,0.429,0.583,0.22,113.3,0.325,0.506,0.595,0.548,0.265
1596,NYK,118.0,44.0,93.0,61.0,11.0,32.0,0.532,Away,118.8,0.269,0.344,0.567,0.204,111.7,0.361,0.518,0.577,0.518,0.301
1597,IND,118.0,41.0,82.0,39.0,19.0,43.0,0.616,Home,118.2,0.28,0.524,0.64,0.207,104.2,0.309,0.372,0.487,0.431,0.245
1598,NYK,118.0,46.0,90.0,63.0,11.0,27.0,0.572,Home,123.8,0.178,0.3,0.608,0.167,139.6,0.136,0.58,0.713,0.688,0.136
1599,PHI,118.0,46.0,83.0,53.0,12.0,30.0,0.627,Away,120.3,0.241,0.361,0.643,0.169,113.2,0.321,0.309,0.6,0.531,0.309
1600,OKC,118.0,47.0,95.0,57.0,17.0,38.0,0.584,Home,123.6,0.084,0.4,0.599,0.074,115.3,0.22,0.341,0.612,0.591,0.159
1601,ATL,118.0,45.0,91.0,69.0,8.0,22.0,0.538,Away,116.8,0.275,0.242,0.578,0.22,111.8,0.242,0.352,0.561,0.538,0.165
1602,PHI,118.0,46.0,88.0,63.0,5.0,25.0,0.551,Home,122.1,0.261,0.284,0.601,0.239,109.7,0.349,0.41,0.553,0.524,0.229
1603,BRK,118.0,43.0,92.0,60.0,12.0,32.0,0.533,Home,131.7,0.228,0.348,0.583,0.217,119.4,0.293,0.329,0.578,0.537,0.232
1604,ATL,118.0,43.0,92.0,53.0,16.0,39.0,0.554,Home,121.4,0.207,0.424,0.588,0.174,106.0,0.128,0.407,0.567,0.547,0.105
1605,BRK,118.0,39.0,86.0,49.0,15.0,37.0,0.541,Home,118.7,0.314,0.43,0.603,0.291,105.6,0.253,0.434,0.477,0.46,0.141
1606,TOR,118.0,44.0,101.0,66.0,9.0,35.0,0.48,Home,122.7,0.307,0.347,0.515,0.208,112.3,0.128,0.394,0.544,0.532,0.085
1607,DAL,118.0,39.0,76.0,38.0,16.0,38.0,0.618,Away,121.1,0.355,0.5,0.671,0.316,115.0,0.189,0.421,0.544,0.521,0.137
1608,NYK,118.0,45.0,93.0,49.0,15.0,44.0,0.565,Away,123.5,0.172,0.473,0.59,0.14,92.1,0.318,0.518,0.454,0.424,0.188
1609,LAL,118.0,49.0,92.0,72.0,6.0,20.0,0.565,Home,115.1,0.228,0.217,0.583,0.152,125.8,0.354,0.378,0.681,0.646,0.28
1610,HOU,118.0,43.0,94.0,52.0,13.0,42.0,0.527,Home,112.1,0.266,0.447,0.562,0.202,114.9,0.379,0.274,0.546,0.5,0.274
1611,IND,118.0,44.0,97.0,57.0,12.0,40.0,0.515,Home,124.2,0.237,0.412,0.551,0.186,131.6,0.175,0.35,0.725,0.7,0.163
1612,OKC,118.0,41.0,87.0,46.0,17.0,41.0,0.569,Home,112.4,0.31,0.471,0.597,0.218,129.5,0.242,0.429,0.675,0.637,0.22
1613,MIL,118.0,44.0,88.0,50.0,14.0,38.0,0.58,Away,120.3,0.261,0.432,0.601,0.182,118.3,0.202,0.461,0.598,0.573,0.157
1614,GSW,118.0,40.0,77.0,41.0,15.0,36.0,0.617,Away,128.4,0.351,0.468,0.664,0.299,113.1,0.247,0.424,0.552,0.518,0.188
1615,OKC,118.0,38.0,79.0,38.0,17.0,41.0,0.589,Home,121.3,0.38,0.519,0.64,0.316,104.8,0.172,0.548,0.51,0.478,0.14
1616,HOU,118.0,39.0,79.0,52.0,12.0,27.0,0.57,Home,115.2,0.405,0.342,0.634,0.354,118.1,0.188,0.426,0.553,0.535,0.129
1617,PHI,118.0,41.0,79.0,47.0,12.0,32.0,0.595,Away,126.4,0.354,0.405,0.646,0.304,122.1,0.4,0.35,0.606,0.544,0.338
1618,OKC,118.0,41.0,97.0,56.0,13.0,41.0,0.49,Home,116.5,0.289,0.423,0.54,0.237,123.4,0.196,0.284,0.564,0.525,0.176
