,Team,PTS,FG,FGA,2PA,3P,3PA,eFG%,Home/Away,ORtg,FTr,3PAr,TS%,FT/FGA,ORtg_opponent,FTr_opponent,3PAr_opponent,TS%_opponent,eFG%_opponent,FT/FGA_opponent
69,MIL,140.0,50.0,92.0,50.0,23.0,42.0,0.668,Away,129.0,0.315,0.457,0.668,0.185,117.9,0.212,0.273,0.591,0.571,0.152
70,BOS,140.0,51.0,91.0,48.0,22.0,43.0,0.681,Away,140.2,0.22,0.473,0.701,0.176,99.1,0.129,0.426,0.464,0.446,0.089
71,MIN,140.0,51.0,83.0,59.0,14.0,24.0,0.699,Away,134.7,0.386,0.289,0.721,0.289,129.0,0.329,0.329,0.688,0.647,0.282
72,SAC,140.0,52.0,89.0,48.0,21.0,41.0,0.702,Away,143.1,0.202,0.461,0.722,0.169,122.7,0.273,0.364,0.609,0.574,0.216
73,LAL,140.0,49.0,91.0,58.0,12.0,33.0,0.604,Home,141.7,0.385,0.363,0.658,0.33,133.6,0.31,0.3,0.581,0.545,0.23
74,POR,140.0,43.0,85.0,41.0,17.0,44.0,0.606,Home,143.7,0.494,0.518,0.676,0.435,126.2,0.371,0.472,0.594,0.539,0.303
75,NYK,140.0,54.0,96.0,61.0,16.0,35.0,0.646,Away,140.8,0.219,0.365,0.665,0.167,110.7,0.241,0.47,0.599,0.584,0.157
76,BOS,140.0,55.0,93.0,41.0,24.0,52.0,0.72,Home,143.2,0.075,0.559,0.729,0.065,107.4,0.174,0.337,0.567,0.552,0.116
77,PHO,140.0,52.0,86.0,59.0,13.0,27.0,0.68,Away,141.9,0.337,0.314,0.709,0.267,131.8,0.333,0.395,0.7,0.685,0.235
78,PHO,140.0,58.0,102.0,69.0,12.0,33.0,0.627,Home,135.7,0.137,0.324,0.647,0.118,107.6,0.383,0.494,0.586,0.543,0.284
79,DEN,140.0,52.0,83.0,41.0,21.0,42.0,0.753,Home,140.7,0.241,0.506,0.763,0.181,108.5,0.326,0.465,0.549,0.529,0.198
80,CHO,140.0,48.0,81.0,39.0,24.0,42.0,0.741,Home,136.5,0.358,0.519,0.747,0.247,108.2,0.217,0.457,0.551,0.543,0.12
81,SAC,140.0,48.0,87.0,43.0,22.0,44.0,0.678,Home,138.3,0.299,0.506,0.711,0.253,108.6,0.228,0.38,0.543,0.527,0.141
82,BOS,140.0,50.0,101.0,51.0,19.0,50.0,0.589,Away,125.2,0.248,0.495,0.625,0.208,115.3,0.272,0.427,0.559,0.539,0.175
83,CHI,139.0,51.0,94.0,70.0,11.0,24.0,0.601,Home,124.6,0.319,0.255,0.648,0.277,117.4,0.31,0.42,0.576,0.55,0.21
84,IND,139.0,54.0,97.0,51.0,22.0,46.0,0.67,Away,136.0,0.155,0.474,0.671,0.093,120.3,0.292,0.36,0.612,0.59,0.202
85,MIL,139.0,49.0,94.0,38.0,26.0,56.0,0.66,Home,134.5,0.202,0.596,0.679,0.16,113.2,0.309,0.351,0.548,0.505,0.234
86,BOS,139.0,53.0,92.0,38.0,26.0,54.0,0.717,Home,147.4,0.109,0.587,0.721,0.076,101.8,0.205,0.443,0.5,0.46,0.17
87,ATL,139.0,56.0,100.0,66.0,13.0,34.0,0.625,Home,147.3,0.16,0.34,0.649,0.14,131.4,0.205,0.361,0.685,0.669,0.157
88,SAC,139.0,47.0,86.0,46.0,20.0,40.0,0.663,Home,140.9,0.337,0.465,0.704,0.291,115.5,0.275,0.407,0.559,0.538,0.176
89,BRK,139.0,58.0,93.0,73.0,11.0,20.0,0.683,Home,133.0,0.161,0.215,0.698,0.129,98.5,0.186,0.32,0.491,0.474,0.113
90,BOS,139.0,50.0,85.0,46.0,19.0,39.0,0.7,Home,138.2,0.294,0.459,0.724,0.235,117.3,0.321,0.429,0.615,0.577,0.25
91,UTA,139.0,46.0,83.0,49.0,15.0,34.0,0.645,Home,123.4,0.446,0.41,0.7,0.386,105.7,0.359,0.37,0.559,0.5,0.293
92,UTA,139.0,53.0,95.0,57.0,16.0,38.0,0.642,Home,134.3,0.232,0.4,0.664,0.179,112.1,0.366,0.293,0.609,0.543,0.329
93,TOR,139.0,46.0,92.0,58.0,14.0,34.0,0.576,Home,136.7,0.435,0.37,0.634,0.359,107.2,0.298,0.345,0.574,0.53,0.238
94,BOS,139.0,54.0,99.0,51.0,18.0,48.0,0.636,Away,136.2,0.131,0.485,0.664,0.131,107.8,0.265,0.461,0.483,0.456,0.167
95,MIN,139.0,51.0,86.0,45.0,17.0,41.0,0.692,Away,129.7,0.291,0.477,0.716,0.233,123.2,0.341,0.471,0.675,0.659,0.235
96,SAS,139.0,52.0,97.0,62.0,13.0,35.0,0.603,Home,125.5,0.268,0.361,0.641,0.227,134.5,0.356,0.367,0.716,0.672,0.311
97,HOU,139.0,52.0,102.0,62.0,17.0,40.0,0.593,Home,121.9,0.186,0.392,0.63,0.176,114.0,0.257,0.465,0.578,0.554,0.178
98,TOR,139.0,53.0,97.0,58.0,15.0,39.0,0.624,Away,138.3,0.227,0.402,0.651,0.186,119.4,0.366,0.463,0.63,0.622,0.22
99,LAC,139.0,45.0,82.0,46.0,18.0,36.0,0.659,Home,139.6,0.439,0.439,0.71,0.378,133.6,0.237,0.34,0.621,0.582,0.206
100,LAL,139.0,47.0,85.0,44.0,19.0,41.0,0.665,Home,141.2,0.353,0.482,0.708,0.306,107.7,0.265,0.412,0.465,0.412,0.216
101,DAL,139.0,57.0,83.0,49.0,18.0,34.0,0.795,Away,152.3,0.108,0.41,0.799,0.084,117.2,0.18,0.416,0.557,0.522,0.157
102,SAS,138.0,51.0,104.0,66.0,15.0,38.0,0.563,Away,124.5,0.288,0.365,0.589,0.202,105.6,0.148,0.491,0.509,0.505,0.074
103,NOP,138.0,44.0,88.0,49.0,21.0,39.0,0.619,Home,125.1,0.443,0.443,0.656,0.33,118.7,0.24,0.346,0.57,0.538,0.183
104,NYK,138.0,52.0,100.0,54.0,18.0,46.0,0.61,Away,133.0,0.25,0.46,0.622,0.16,124.4,0.345,0.345,0.644,0.603,0.276
105,SAC,138.0,54.0,88.0,49.0,19.0,39.0,0.722,Away,138.1,0.17,0.443,0.729,0.125,114.1,0.271,0.447,0.599,0.582,0.176
106,MIA,138.0,49.0,82.0,53.0,13.0,29.0,0.677,Home,138.1,0.402,0.354,0.715,0.329,119.1,0.154,0.505,0.612,0.604,0.099
107,MIN,138.0,48.0,80.0,41.0,20.0,39.0,0.725,Away,142.3,0.388,0.488,0.737,0.275,138.2,0.337,0.303,0.656,0.629,0.247
108,IND,138.0,49.0,94.0,45.0,22.0,49.0,0.638,Home,132.9,0.234,0.521,0.666,0.191,136.8,0.263,0.394,0.643,0.606,0.222
