Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
338,2010-11,SAC,24,82,24,58,.293,-5.34,0.54,-4.80,95.2,103.5,109.0,.480,.519,14.4,29.9,.284,.513,.555,13.5,25.6,.305
339,2021-22,DET,23,82,23,59,.280,-7.72,0.37,-7.36,98.4,106.0,113.8,.494,.533,12.6,23.4,.249,.541,.580,13.1,24.4,.292
340,2020-21,MIN,23,72,23,49,.319,-5.56,0.31,-5.25,101.6,109.5,115.0,.520,.555,12.4,22.7,.254,.556,.591,13.3,23.2,.264
341,2019-20,CHO,23,65,23,42,.354,-6.75,-0.28,-7.03,95.8,106.3,113.3,.504,.539,13.3,23.9,.252,.546,.573,13.1,25.6,.210
342,2015-16,PHO,23,82,23,59,.280,-6.66,0.34,-6.32,98.5,102.2,109.0,.487,.526,15.2,25.4,.271,.523,.563,13.5,22.9,.317
343,2013-14,ORL,23,82,23,59,.280,-5.44,-0.44,-5.88,93.6,101.7,107.4,.487,.525,13.9,22.4,.253,.504,.544,13.0,24.5,.274
344,2011-12,GSW,23,66,23,43,.348,-3.41,0.62,-2.79,92.3,105.4,109.1,.505,.539,13.3,22.9,.227,.496,.539,13.6,30.9,.318
345,2011-12,TOR,23,66,23,43,.348,-3.30,-0.36,-3.67,89.3,100.8,104.5,.475,.518,14.8,25.9,.274,.475,.524,12.8,24.6,.350
346,2010-11,WAS,23,82,23,59,.280,-7.40,0.11,-7.30,93.8,102.4,110.2,.471,.513,13.9,28.0,.290,.512,.557,14.4,29.5,.327
347,2022-23,HOU,22,82,22,60,.268,-7.85,0.24,-7.62,99.0,111.4,119.3,.516,.554,14.0,30.2,.285,.564,.600,11.8,24.2,.275
348,2022-23,SAS,22,82,22,60,.268,-10.04,0.22,-9.82,101.6,110.2,120.0,.525,.554,13.0,25.6,.229,.576,.607,12.0,25.1,.260
349,2021-22,ORL,22,82,22,60,.268,-8.00,0.33,-7.67,99.2,104.5,112.5,.503,.538,13.0,19.8,.223,.532,.567,11.7,22.8,.254
350,2020-21,CLE,22,72,22,50,.306,-8.44,0.25,-8.19,97.3,105.8,114.4,.508,.543,13.9,23.6,.261,.556,.587,13.0,23.4,.235
351,2020-21,OKC,22,72,22,50,.306,-10.64,0.51,-10.13,101.0,103.5,114.0,.509,.539,14.2,21.2,.242,.547,.576,11.5,22.1,.216
352,2019-20,CHI,22,65,22,43,.338,-3.08,-0.93,-4.00,99.7,106.7,109.8,.515,.547,13.7,22.8,.231,.546,.585,16.3,24.4,.315
353,2018-19,CHI,22,82,22,60,.268,-8.41,0.10,-8.32,99.0,104.8,113.2,.505,.541,12.7,19.4,.235,.541,.573,11.9,22.7,.247
354,2017-18,MEM,22,82,22,60,.268,-6.21,0.39,-5.81,94.9,104.5,111.0,.500,.539,14.0,22.4,.255,.529,.573,13.8,23.5,.333
355,2011-12,NJN,22,66,22,44,.333,-5.98,-0.39,-6.37,90.1,102.9,109.6,.473,.516,14.3,27.8,.269,.513,.549,13.7,29.3,.282
356,2011-12,SAC,22,66,22,44,.333,-5.68,0.73,-4.95,94.7,103.8,109.8,.472,.510,13.0,29.1,.268,.515,.551,13.9,29.5,.262
357,2010-11,TOR,22,82,22,60,.268,-6.28,0.01,-6.28,92.9,106.1,112.9,.491,.533,13.7,28.2,.293,.522,.566,13.0,28.0,.326
358,2020-21,ORL,21,72,21,51,.292,-9.31,0.29,-9.02,98.7,105.1,114.5,.490,.527,11.5,21.6,.240,.547,.577,11.5,21.8,.215
359,2019-20,NYK,21,66,21,45,.318,-6.45,-0.26,-6.72,98.6,106.5,113.0,.501,.531,12.6,25.8,.263,.541,.577,12.4,21.7,.299
360,2017-18,PHO,21,82,21,61,.256,-9.37,0.57,-8.80,100.3,103.5,112.8,.495,.532,13.9,22.5,.275,.533,.569,11.9,23.5,.277
361,2015-16,BRK,21,82,21,61,.256,-7.35,0.24,-7.12,95.2,103.2,110.9,.492,.527,13.6,24.1,.246,.534,.565,13.1,24.3,.230
362,2014-15,LAL,21,82,21,61,.256,-6.84,0.67,-6.17,94.0,103.4,110.6,.473,.513,12.1,25.4,.276,.518,.557,12.1,23.7,.311
363,2012-13,CHA,21,82,21,61,.256,-9.23,-0.06,-9.29,91.5,101.5,111.5,.460,.507,13.2,25.7,.310,.524,.558,13.2,28.9,.264
364,2011-12,CLE,21,66,21,45,.318,-7.20,-0.14,-7.34,91.3,101.1,108.9,.463,.505,14.3,28.9,.307,.508,.544,13.1,27.8,.270
365,2011-12,NOH,21,66,21,45,.318,-3.76,0.65,-3.11,88.3,100.9,105.1,.476,.517,15.2,27.5,.274,.485,.528,13.5,26.9,.287
366,2021-22,HOU,20,82,20,62,.244,-8.48,0.22,-8.26,100.9,108.4,116.7,.534,.565,14.5,21.7,.284,.554,.589,12.3,25.6,.263
367,2020-21,DET,20,72,20,52,.278,-4.47,0.09,-4.38,97.9,108.0,112.5,.519,.556,13.5,21.9,.273,.541,.574,12.6,23.1,.257
368,2019-20,ATL,20,67,20,47,.299,-7.97,0.27,-7.71,103.0,107.2,114.8,.515,.554,13.8,21.6,.258,.543,.582,12.7,25.1,.303
369,2019-20,DET,20,66,20,46,.303,-3.56,-0.82,-4.38,97.6,109.0,112.7,.529,.561,13.8,22.6,.261,.541,.574,12.7,24.1,.239
370,2016-17,BRK,20,82,20,62,.244,-6.73,-0.01,-6.74,101.3,104.1,110.7,.507,.551,14.7,19.6,.289,.513,.552,11.6,23.9,.275
371,2012-13,ORL,20,82,20,62,.244,-6.99,-0.14,-7.12,92.2,101.6,109.1,.485,.514,13.7,25.4,.197,.508,.543,11.8,25.4,.265
372,2011-12,WAS,20,66,20,46,.303,-4.80,-0.34,-5.14,92.5,101.0,106.2,.472,.508,14.2,27.3,.253,.492,.536,14.2,29.1,.302
373,2019-20,CLE,19,65,19,46,.292,-7.89,0.12,-7.77,98.7,107.5,115.4,.522,.553,14.6,24.6,.227,.560,.587,11.7,22.6,.214
374,2019-20,MIN,19,64,19,45,.297,-4.30,0.28,-4.02,103.4,108.1,112.2,.514,.551,13.0,22.1,.277,.541,.579,13.2,22.8,.279
375,2018-19,CLE,19,82,19,63,.232,-9.61,0.22,-9.39,96.6,107.7,117.6,.503,.540,12.2,23.7,.236,.564,.593,11.5,23.0,.235
376,2018-19,PHO,19,82,19,63,.232,-9.34,0.73,-8.61,100.5,105.9,115.1,.514,.552,13.8,20.5,.259,.545,.582,13.5,27.5,.313
377,2013-14,PHI,19,82,19,63,.232,-10.45,-0.21,-10.66,99.2,99.4,109.9,.475,.510,14.8,24.8,.268,.524,.565,14.9,27.6,.324
378,2010-11,CLE,19,82,19,63,.232,-9.01,0.14,-8.88,93.0,102.2,111.8,.472,.518,13.4,24.2,.312,.524,.561,12.7,26.7,.278
379,2014-15,PHI,18,82,18,64,.220,-8.98,-0.07,-9.04,95.7,95.5,104.8,.459,.494,16.0,25.5,.288,.497,.539,15.2,27.0,.298
380,2022-23,DET,17,82,17,65,.207,-8.22,0.49,-7.73,99.0,110.7,118.9,.520,.561,13.3,24.9,.295,.557,.595,11.9,26.0,.298
381,2020-21,HOU,17,72,17,55,.236,-7.90,0.40,-7.50,101.4,107.1,114.9,.521,.553,13.0,19.8,.252,.555,.589,12.9,22.9,.256
382,2018-19,NYK,17,82,17,65,.207,-9.21,0.28,-8.93,99.6,104.5,113.7,.490,.529,12.4,22.1,.270,.533,.568,11.7,23.9,.265
383,2015-16,LAL,17,82,17,65,.207,-9.56,0.64,-8.92,95.6,101.6,111.6,.460,.509,12.5,23.1,.292,.523,.556,11.6,25.3,.277
384,2014-15,NYK,17,82,17,65,.207,-9.32,-0.18,-9.50,91.2,99.9,110.0,.470,.508,14.0,24.5,.234,.512,.554,13.3,26.9,.308
385,2010-11,MIN,17,82,17,65,.207,-6.63,0.67,-5.97,96.5,104.2,111.1,.483,.526,15.1,29.6,.282,.514,.560,13.1,26.3,.323
386,2014-15,MIN,16,82,16,66,.195,-8.79,0.79,-8.00,94.4,102.9,112.2,.468,.517,13.7,26.6,.309,.537,.569,13.9,28.4,.246
387,2019-20,GSW,15,65,15,50,.231,-8.71,0.59,-8.12,100.3,105.2,113.8,.497,.540,13.2,21.5,.264,.553,.586,13.7,23.6,.247
388,2013-14,MIL,15,82,15,67,.183,-8.18,-0.23,-8.41,91.8,103.0,111.8,.479,.519,14.1,27.1,.274,.520,.559,13.2,28.6,.299
389,2015-16,PHI,10,82,10,72,.122,-10.23,0.31,-9.92,97.9,98.8,109.2,.487,.519,14.8,20.6,.269,.510,.555,13.5,26.0,.306
390,2011-12,CHA,7,66,7,59,.106,-13.91,-0.05,-13.96,91.1,95.2,110.4,.439,.483,13.9,23.6,.276,.512,.549,12.8,29.1,.275
