Rk,Season,Team,W,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FTr,eFG%,TS%,TOV%,ORB%,FTr
64,2022-23,CLE,51,82,51,31,.622,5.38,-0.15,5.23,95.7,116.1,110.6,.556,.590,12.3,23.6,.264,.535,.572,14.4,23.7,.268
65,2022-23,MEM,51,82,51,31,.622,3.94,-0.34,3.60,101.1,115.1,111.2,.540,.570,11.7,26.5,.259,.526,.564,13.1,24.1,.262
66,2021-22,BOS,51,82,51,31,.622,7.28,-0.26,7.02,96.6,114.4,106.9,.542,.578,12.4,24.0,.239,.502,.538,12.5,22.7,.234
67,2021-22,PHI,51,82,51,31,.622,2.61,-0.04,2.57,96.2,113.5,110.8,.534,.578,11.6,20.1,.282,.524,.559,12.1,23.2,.250
68,2021-22,MIL,51,82,51,31,.622,3.35,-0.14,3.22,99.9,115.1,111.8,.546,.580,11.9,23.0,.257,.536,.564,11.6,21.4,.220
69,2020-21,PHO,51,72,51,21,.708,5.82,-0.15,5.67,97.2,117.2,111.3,.564,.597,11.5,20.8,.212,.534,.568,12.4,21.5,.250
70,2018-19,PHI,51,82,51,31,.622,2.70,-0.44,2.25,101.6,112.6,110.0,.532,.574,12.9,24.5,.312,.512,.550,11.1,21.4,.268
71,2016-17,UTA,51,82,51,31,.622,3.94,0.06,4.00,91.6,109.6,105.3,.526,.563,13.2,23.2,.288,.493,.531,11.8,21.1,.253
72,2016-17,TOR,51,82,51,31,.622,4.21,-0.56,3.65,94.7,112.3,107.8,.517,.561,11.8,25.0,.293,.507,.550,13.5,23.7,.286
73,2016-17,CLE,51,82,51,31,.622,3.18,-0.31,2.87,96.2,113.6,110.3,.547,.580,12.6,21.9,.275,.516,.549,11.4,24.2,.226
74,2016-17,LAC,51,82,51,31,.622,4.29,0.13,4.42,96.1,112.7,108.2,.537,.574,12.0,21.5,.312,.506,.546,12.1,23.1,.274
75,2014-15,POR,51,82,51,31,.622,4.23,0.18,4.41,94.2,108.2,103.7,.508,.544,12.6,24.2,.225,.476,.513,11.3,23.8,.240
76,2013-14,GSW,51,82,51,31,.622,4.80,0.34,5.15,96.2,107.5,102.6,.517,.550,13.8,25.1,.247,.477,.522,13.6,23.7,.292
77,2018-19,UTA,50,82,50,32,.610,5.26,0.03,5.28,100.3,110.9,105.7,.538,.572,13.4,22.9,.295,.507,.542,12.4,19.7,.251
78,2017-18,CLE,50,82,50,32,.610,0.94,-0.35,0.59,98.0,112.9,111.9,.547,.584,12.6,20.1,.275,.540,.568,12.2,22.7,.219
79,2014-15,CHI,50,82,50,32,.610,3.00,-0.46,2.54,92.8,107.5,104.3,.489,.536,12.9,27.0,.304,.473,.510,11.3,25.6,.242
80,2014-15,DAL,50,82,50,32,.610,2.90,0.46,3.36,95.2,109.5,106.4,.515,.550,11.9,23.6,.262,.503,.541,14.7,27.8,.271
81,2013-14,MEM,50,82,50,32,.610,1.57,0.61,2.18,89.9,106.3,104.6,.494,.529,13.1,28.3,.248,.497,.535,13.8,24.3,.259
82,2011-12,CHI,50,66,50,16,.758,8.18,-0.76,7.43,89.1,107.4,98.3,.490,.523,13.2,32.6,.255,.450,.486,12.8,25.7,.236
83,2011-12,SAS,50,66,50,16,.758,7.17,0.11,7.28,92.9,110.9,103.2,.528,.562,12.8,25.1,.261,.489,.522,12.9,24.0,.222
84,2010-11,DEN,50,82,50,32,.610,4.76,0.05,4.81,95.6,112.3,107.3,.526,.574,13.1,23.9,.367,.500,.542,12.7,24.6,.296
85,2021-22,UTA,49,82,49,33,.598,6.04,-0.37,5.67,97.1,116.7,110.5,.555,.589,12.7,25.4,.271,.521,.550,10.9,21.7,.216
86,2020-21,PHI,49,72,49,23,.681,5.58,-0.31,5.28,99.5,113.2,107.6,.541,.579,12.8,23.2,.293,.521,.557,13.8,21.8,.262
87,2019-20,LAC,49,72,49,23,.681,6.44,0.21,6.66,101.5,113.9,107.6,.535,.577,12.6,23.5,.295,.506,.544,12.2,22.4,.272
88,2018-19,OKC,49,82,49,33,.598,3.40,0.15,3.56,102.8,110.3,107.0,.514,.545,11.7,26.0,.266,.523,.560,14.4,21.8,.271
89,2018-19,BOS,49,82,49,33,.598,4.44,-0.54,3.90,99.6,112.2,107.8,.534,.567,11.5,21.6,.215,.514,.550,13.4,23.0,.259
90,2017-18,POR,49,82,49,33,.598,2.60,0.00,2.60,96.5,109.1,106.4,.511,.549,12.3,23.3,.240,.503,.539,11.7,20.9,.256
91,2016-17,WAS,49,82,49,33,.598,1.80,-0.45,1.36,97.4,111.2,109.3,.528,.564,12.8,24.1,.254,.524,.561,13.8,24.5,.284
92,2014-15,TOR,49,82,49,33,.598,3.07,-0.62,2.45,92.8,111.0,107.7,.508,.553,12.0,25.6,.295,.506,.542,13.4,26.7,.283
93,2013-14,DAL,49,82,49,33,.598,2.40,0.50,2.91,93.5,111.2,108.7,.526,.564,12.7,24.6,.253,.515,.555,14.8,27.3,.303
94,2012-13,IND,49,81,49,32,.605,4.02,-0.69,3.34,90.2,104.3,99.8,.479,.521,14.3,30.3,.293,.453,.495,12.9,25.4,.260
95,2012-13,BRK,49,82,49,33,.598,1.78,-0.53,1.25,88.8,108.2,106.2,.498,.536,14.0,30.9,.299,.503,.534,13.1,26.3,.238
96,2022-23,SAC,48,82,48,34,.585,2.65,-0.35,2.30,100.3,119.4,116.8,.572,.608,12.0,22.7,.284,.563,.596,12.6,22.8,.258
97,2021-22,DEN,48,82,48,34,.585,2.30,-0.15,2.16,97.8,114.5,112.1,.556,.590,13.2,21.9,.244,.537,.569,11.7,21.7,.249
98,2021-22,TOR,48,82,48,34,.585,2.29,0.08,2.38,96.0,112.9,110.5,.510,.543,11.0,28.4,.234,.535,.571,14.4,24.4,.252
99,2020-21,BRK,48,72,48,24,.667,4.50,-0.27,4.24,99.5,118.3,113.8,.575,.610,12.2,21.4,.258,.531,.565,11.1,22.7,.241
100,2019-20,BOS,48,72,48,24,.667,6.31,-0.47,5.83,99.5,113.3,107.0,.531,.570,12.2,23.9,.259,.509,.549,13.5,22.6,.281
101,2018-19,IND,48,82,48,34,.585,3.33,-0.57,2.76,98.1,109.9,106.5,.530,.561,12.4,21.9,.242,.516,.549,14.1,23.8,.243
102,2018-19,LAC,48,82,48,34,.585,0.85,0.23,1.09,101.7,112.4,111.5,.529,.575,12.7,22.0,.326,.514,.555,11.4,24.0,.288
103,2018-19,SAS,48,82,48,34,.585,1.68,0.12,1.80,98.3,112.9,111.2,.534,.572,11.0,21.0,.237,.528,.558,11.0,20.6,.225
104,2017-18,NOP,48,82,48,34,.585,1.30,0.18,1.48,100.5,109.6,108.3,.541,.573,13.3,20.0,.237,.513,.547,12.5,23.3,.223
105,2017-18,IND,48,82,48,34,.585,1.38,-0.20,1.18,96.0,109.5,108.1,.525,.557,12.3,22.7,.222,.527,.558,14.2,23.8,.230
106,2017-18,OKC,48,82,48,34,.585,3.41,0.00,3.42,96.7,110.7,107.2,.514,.546,12.4,27.7,.275,.525,.560,14.7,22.6,.252
107,2017-18,UTA,48,82,48,34,.585,4.30,0.17,4.47,95.7,108.4,103.9,.527,.564,13.7,21.5,.260,.506,.543,14.0,20.2,.247
108,2015-16,ATL,48,82,48,34,.585,3.61,-0.12,3.49,97.1,105.1,101.4,.516,.552,13.8,19.1,.237,.480,.518,14.4,25.4,.256
109,2015-16,BOS,48,82,48,34,.585,3.21,-0.37,2.84,98.5,106.8,103.6,.488,.531,12.1,25.1,.264,.487,.531,14.6,25.4,.306
110,2015-16,CHO,48,82,48,34,.585,2.72,-0.36,2.36,95.7,107.1,104.3,.502,.545,11.7,20.0,.280,.496,.534,12.5,20.2,.249
111,2015-16,MIA,48,82,48,34,.585,1.65,-0.14,1.50,93.6,106.1,104.4,.508,.545,13.3,23.8,.282,.485,.525,12.1,22.2,.255
112,2013-14,CHI,48,82,48,34,.585,1.85,-0.66,1.20,90.2,102.5,100.5,.471,.518,14.2,27.2,.290,.471,.509,13.7,24.6,.250
113,2013-14,PHO,48,82,48,34,.585,2.63,0.39,3.02,95.8,109.5,106.7,.519,.558,14.0,26.4,.293,.496,.541,13.9,26.3,.309
