,Team,Date,PTS,Opp,FG,FGA,2PA,3P,3PA,Opponent_Points
213,DEN,2023-02-02,134,GSW,51,90,55,16,35,117
214,POR,2023-01-25,134,UTA,51,89,53,17,36,124
215,DEN,2023-01-20,134,IND,51,83,55,14,28,111
216,SAC,2023-01-07,134,LAL,45,86,54,14,32,136
217,CHI,2023-01-02,134,CLE,47,95,62,10,33,145
218,CHO,2022-12-23,134,LAL,52,94,53,16,41,130
219,SAC,2022-12-21,134,LAL,48,95,48,17,47,120
220,CHO,2022-12-14,134,DET,47,114,63,17,51,141
221,BOS,2022-11-30,134,MIA,46,83,38,22,45,121
222,UTA,2022-11-18,134,PHO,51,91,60,16,31,133
223,HOU,2022-11-07,134,ORL,46,87,39,24,48,127
224,MIN,2022-10-26,134,SAS,52,80,46,20,34,122
225,NYK,2022-10-26,134,CHO,52,97,67,11,30,131
226,PHO,2022-10-25,134,GSW,47,92,63,12,29,105
227,MEM,2022-10-24,134,BRK,47,94,60,16,34,124
228,IND,2022-10-21,134,SAS,51,104,69,11,35,137
229,BRK,2022-04-10,134,IND,52,81,59,8,22,126
230,OKC,2022-03-28,134,POR,48,90,45,20,45,131
231,BOS,2022-03-27,134,MIN,49,87,48,17,39,112
232,DET,2022-03-17,134,ORL,47,94,51,20,43,120
233,CHO,2022-03-14,134,OKC,49,91,56,20,35,116
234,UTA,2022-03-12,134,SAC,48,86,45,16,41,125
235,CHI,2022-02-11,134,MIN,55,87,56,14,31,122
236,MIN,2022-02-08,134,SAC,50,104,60,22,44,114
237,PHO,2022-01-28,134,MIN,43,84,45,20,39,124
238,SAS,2022-01-25,134,HOU,58,101,69,12,32,104
239,ATL,2022-01-19,134,MIN,45,86,48,15,38,122
240,LAL,2022-01-07,134,ATL,50,101,60,17,41,118
241,POR,2021-10-23,134,PHO,51,94,44,21,50,105
242,IND,2021-10-22,134,WAS,52,97,63,15,34,135
243,BOS,2021-10-20,134,NYK,48,117,60,21,57,138
244,UTA,2023-04-04,133,LAL,47,90,57,15,33,135
245,MEM,2023-03-18,133,GSW,52,95,57,18,38,119
246,MIL,2023-03-13,133,SAC,50,86,53,15,33,124
247,PHI,2023-03-04,133,MIL,42,84,47,18,37,130
248,DAL,2023-03-02,133,PHI,45,82,34,25,48,126
249,DEN,2023-02-28,133,HOU,53,92,55,16,37,112
250,SAC,2023-02-23,133,POR,47,85,51,14,34,116
251,OKC,2023-02-15,133,HOU,42,87,53,9,34,96
252,SAC,2023-02-11,133,DAL,51,100,68,8,32,128
253,OKC,2023-02-07,133,LAL,49,94,60,17,34,130
254,BRK,2023-01-25,133,PHI,49,76,50,14,26,137
255,LAC,2023-01-24,133,LAL,51,84,46,19,38,115
256,SAC,2023-01-23,133,MEM,49,88,48,22,40,100
257,OKC,2023-01-12,133,PHI,44,86,53,14,33,114
258,HOU,2022-12-26,133,CHI,50,90,46,17,44,118
259,ORL,2022-12-23,133,SAS,50,87,55,17,32,113
260,POR,2022-12-12,133,MIN,48,89,43,21,46,112
261,IND,2022-12-10,133,BRK,47,85,41,21,44,136
262,PHI,2022-12-09,133,LAL,48,90,50,18,40,122
263,PHO,2022-12-04,133,SAS,49,94,57,19,37,95
264,LAL,2022-12-02,133,MIL,52,96,70,11,26,129
265,PHI,2022-11-27,133,ORL,50,77,50,11,27,103
266,PHO,2022-11-18,133,UTA,49,94,64,9,30,134
267,BOS,2022-11-05,133,NYK,47,88,37,27,51,118
268,CLE,2022-04-10,133,MIL,51,94,56,19,38,115
269,PHI,2022-04-09,133,IND,50,90,56,12,34,120
270,CHO,2022-04-08,133,CHI,52,86,46,19,40,117
271,MEM,2022-03-24,133,IND,50,93,51,21,42,103
272,SAS,2022-03-23,133,POR,46,94,50,19,44,96
273,WAS,2022-03-06,133,IND,45,86,44,17,42,123
274,TOR,2022-02-28,133,BRK,51,99,61,18,38,97
275,MIA,2022-02-26,133,SAS,47,83,55,12,28,129
276,PHI,2022-02-25,133,MIN,42,82,43,19,39,102
277,ATL,2022-02-08,133,IND,52,90,57,17,33,112
278,MIL,2022-01-22,133,SAC,45,91,49,21,42,127
279,DET,2022-01-19,133,SAC,46,91,55,15,36,131
280,IND,2022-01-17,133,LAC,50,97,64,13,33,139
281,DEN,2022-01-15,133,LAL,47,91,51,23,40,96
282,CHI,2022-01-11,133,DET,50,92,58,18,34,87
283,PHI,2022-01-03,133,HOU,50,96,56,17,40,113
284,PHO,2022-01-02,133,CHO,52,103,62,17,41,99
285,CHI,2021-12-20,133,HOU,47,88,53,16,35,118
286,DEN,2021-12-17,133,ATL,50,86,48,17,38,115
287,CHI,2021-11-29,133,CHO,53,89,59,14,30,119
288,CHO,2021-11-26,133,MIN,49,88,48,23,40,115
289,ATL,2023-04-02,132,DAL,51,108,73,12,35,130
290,MEM,2023-03-29,132,LAC,49,95,63,11,32,141
291,BOS,2023-03-21,132,SAC,49,92,48,18,44,109
292,SAC,2023-03-18,132,WAS,48,86,49,22,37,118
293,SAS,2023-03-14,132,ORL,48,85,44,22,41,114
294,PHO,2023-03-08,132,OKC,49,94,51,20,43,101
295,ATL,2023-02-01,132,PHO,52,91,58,19,33,100
296,OKC,2023-01-25,132,ATL,53,102,68,15,34,137
297,HOU,2023-01-16,132,LAL,49,100,70,11,30,140
298,MIL,2023-01-16,132,IND,48,91,45,23,46,119
299,CHI,2023-01-15,132,GSW,48,95,56,15,39,118
300,SAC,2023-01-15,132,SAS,49,89,59,14,30,119
301,TOR,2023-01-10,132,CHO,45,91,47,20,44,120
302,NOP,2023-01-09,132,WAS,49,93,67,10,26,112
303,CHI,2022-12-30,132,DET,53,92,65,12,27,118
304,NYK,2022-12-20,132,GSW,45,87,47,17,40,94
305,UTA,2022-12-15,132,NOP,42,92,45,18,47,129
306,HOU,2022-12-05,132,PHI,42,94,55,14,39,123
307,PHO,2022-11-30,132,CHI,49,93,60,15,33,113
308,MEM,2022-11-25,132,NOP,47,91,53,18,38,111
309,POR,2022-11-25,132,NYK,42,85,53,10,32,129
310,CLE,2022-11-18,132,CHO,49,92,64,8,28,122
311,GSW,2022-11-14,132,SAS,47,88,43,23,45,95
312,MIA,2022-11-12,132,CHO,49,93,52,16,41,115
313,OKC,2022-11-11,132,TOR,52,93,57,15,36,113
314,OKC,2022-11-09,132,MIL,50,111,66,18,45,136
315,CLE,2022-10-28,132,BOS,45,87,52,16,35,123
316,UTA,2022-10-21,132,MIN,49,111,61,20,50,126
317,WAS,2022-04-05,132,MIN,56,101,71,13,30,114
318,HOU,2022-04-03,132,MIN,48,85,45,16,40,139
319,ATL,2022-03-28,132,IND,47,86,51,17,35,123
320,MEM,2022-03-23,132,BRK,47,101,63,19,38,120
321,BOS,2022-03-21,132,OKC,44,86,46,15,40,123
322,MIN,2022-03-09,132,OKC,45,86,34,22,52,102
323,MEM,2022-03-08,132,NOP,48,101,57,16,44,111
324,BRK,2022-03-08,132,CHO,46,82,47,18,35,121
325,MIL,2022-03-06,132,PHO,47,87,55,15,32,122
326,LAC,2022-03-03,132,LAL,51,93,66,17,27,111
327,UTA,2022-03-02,132,HOU,50,91,49,15,42,127
328,GSW,2022-02-24,132,POR,45,88,47,15,41,95
329,PHO,2022-02-12,132,ORL,55,105,71,15,34,105
330,MEM,2022-02-10,132,DET,44,92,62,15,30,107
331,SAC,2022-02-09,132,MIN,48,93,63,12,30,119
332,DEN,2022-02-08,132,NYK,46,85,46,16,39,115
333,DAL,2022-01-29,132,IND,51,96,62,16,34,105
334,DAL,2022-01-26,132,POR,48,88,52,16,36,112
335,LAL,2021-12-28,132,HOU,48,92,58,14,34,123
336,DAL,2021-12-27,132,POR,48,84,51,12,33,117
337,HOU,2021-12-13,132,ATL,46,96,50,19,46,126
338,ATL,2021-11-26,132,MEM,52,89,62,13,27,100
339,MEM,2021-10-20,132,CLE,53,100,67,14,33,121
340,SAS,2023-04-08,131,MIN,50,95,66,13,29,151
341,ATL,2023-04-07,131,PHI,51,92,59,10,33,136
342,MEM,2023-04-05,131,NOP,50,104,68,12,36,138
343,NOP,2023-03-25,131,LAC,51,96,62,21,34,110
344,MIN,2023-03-17,131,CHI,46,100,58,18,42,139
345,MEM,2023-03-09,131,GSW,50,93,53,18,40,110
346,UTA,2023-03-09,131,ORL,49,88,54,13,34,124
347,NYK,2023-03-05,131,BOS,47,95,54,15,41,129
348,POR,2023-02-26,131,HOU,42,77,38,20,39,114
349,CHI,2023-02-24,131,BRK,50,88,62,12,26,87
350,MIL,2023-02-14,131,BOS,43,90,48,18,42,125
351,SAS,2023-02-10,131,DET,45,107,65,14,42,138
352,NOP,2023-02-04,131,LAL,52,100,70,9,30,126
353,UTA,2023-02-01,131,TOR,44,83,36,17,47,128
354,IND,2023-01-27,131,MIL,49,89,56,13,33,141
355,LAC,2023-01-20,131,SAS,51,81,53,15,28,126
356,UTA,2023-01-05,131,HOU,46,93,45,19,48,114
357,MEM,2023-01-04,131,CHO,47,94,64,9,30,107
358,IND,2022-12-31,131,LAC,46,88,50,14,38,130
359,DET,2022-12-26,131,LAC,44,100,66,16,34,142
360,PHI,2022-12-11,131,CHO,46,83,56,13,27,113
361,DET,2022-12-01,131,DAL,51,94,59,15,35,125
362,DEN,2022-11-23,131,OKC,42,88,50,14,38,126
363,BOS,2022-11-11,131,DEN,50,90,53,16,37,112
364,CHO,2022-10-26,131,NYK,49,99,68,13,31,134
365,MIL,2022-04-08,131,DET,50,101,64,11,37,101
366,DAL,2022-04-06,131,DET,45,80,47,15,33,113
367,PHI,2022-04-05,131,IND,47,87,47,23,40,122
368,ATL,2022-03-31,131,CLE,45,91,52,17,39,107
369,POR,2022-03-28,131,OKC,51,112,62,20,50,134
370,TOR,2022-03-26,131,IND,51,84,52,15,32,91
371,LAL,2022-03-21,131,CLE,53,94,62,12,32,120
372,PHO,2022-03-15,131,NOP,49,90,56,18,34,115
373,ATL,2022-03-13,131,IND,46,84,46,17,38,128
374,DEN,2022-03-07,131,GSW,46,84,52,10,32,124
375,NYK,2022-03-07,131,SAC,47,92,50,18,42,115
376,SAC,2022-02-28,131,OKC,49,87,56,10,31,110
377,PHO,2022-02-10,131,MIL,51,90,60,9,30,107
378,MIL,2022-02-08,131,LAL,52,96,60,15,36,116
379,SAS,2022-02-04,131,HOU,51,89,61,13,28,106
