Rk,Team,Date,eFG%,,Opp,Result,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA
79,DAL,2022-04-08,.658,,POR,W 128-78,133.0,.392,.570,.691,.658,.304,81.0,.145,.386,.442,.416,.108
80,NOP,2022-01-11,.658,,MIN,W 128-125,127.5,.487,.434,.694,.658,.368,124.5,.360,.453,.627,.593,.267
81,HOU,2021-11-27,.658,,CHO,W 146-143 (OT),137.7,.326,.516,.672,.658,.221,134.8,.291,.485,.615,.563,.262
82,MIL,2022-02-05,.658,@,POR,W 137-108,138.0,.239,.543,.674,.658,.174,108.8,.247,.529,.573,.565,.141
83,MIL,2022-01-01,.658,,NOP,W 136-113,126.4,.196,.522,.681,.658,.163,105.1,.316,.537,.522,.495,.200
84,ATL,2021-11-26,.657,@,MEM,W 132-100,132.5,.236,.303,.672,.657,.169,100.4,.209,.418,.503,.473,.154
85,CHI,2021-11-26,.657,@,ORL,W 123-88,124.2,.186,.395,.661,.657,.116,88.9,.375,.400,.472,.419,.263
86,ATL,2022-02-26,.657,,TOR,W 127-100,127.6,.265,.373,.685,.657,.217,100.5,.200,.337,.484,.453,.147
87,DAL,2022-04-06,.656,@,DET,W 131-113,138.4,.425,.413,.690,.656,.325,119.4,.427,.366,.580,.494,.390
88,SAS,2022-02-11,.656,@,ATL,W 136-121,129.3,.233,.356,.685,.656,.200,115.0,.146,.417,.552,.524,.126
89,POR,2021-10-23,.654,,PHO,W 134-105,132.7,.181,.532,.660,.654,.117,103.9,.169,.315,.549,.534,.112
90,NOP,2022-03-02,.653,,SAC,W 125-95,126.9,.136,.330,.670,.653,.114,96.4,.281,.393,.475,.438,.191
91,MIL,2022-02-06,.653,@,LAC,W 137-113,135.3,.307,.432,.686,.653,.250,111.6,.167,.479,.548,.510,.156
92,MIN,2022-03-05,.653,,POR,W 135-121,136.1,.341,.435,.690,.653,.282,122.0,.353,.447,.616,.565,.294
93,LAC,2022-02-14,.653,,GSW,W 119-104,122.8,.176,.400,.650,.653,.094,107.3,.151,.477,.567,.547,.116
94,MIL,2021-12-28,.653,@,ORL,W 127-110,129.5,.259,.435,.671,.653,.188,112.2,.313,.470,.582,.530,.265
95,DAL,2022-02-17,.652,@,NOP,W 125-118,132.6,.305,.488,.672,.652,.220,125.2,.228,.304,.583,.565,.152
96,LAC,2022-02-17,.652,,HOU,W 142-111,136.9,.283,.380,.686,.652,.239,107.1,.209,.407,.559,.533,.154
97,UTA,2022-02-14,.652,,HOU,W 135-101,141.2,.247,.449,.684,.652,.213,105.6,.337,.446,.530,.494,.229
98,BRK,2022-03-29,.651,,DET,W 130-123,131.6,.447,.368,.715,.651,.408,124.5,.131,.384,.587,.566,.111
99,UTA,2022-03-12,.651,,SAC,W 134-125,137.0,.360,.477,.672,.651,.256,127.8,.223,.351,.605,.569,.191
100,MIN,2022-03-09,.651,,OKC,W 132-102,128.4,.302,.605,.677,.651,.233,99.2,.276,.494,.523,.494,.184
101,MIN,2022-02-28,.651,@,CLE,W 127-122,131.2,.221,.488,.673,.651,.174,126.0,.459,.500,.686,.628,.392
102,SAS,2022-02-01,.651,,GSW,L 120-124,122.3,.205,.398,.663,.651,.145,126.4,.188,.479,.597,.552,.188
103,MEM,2022-03-24,.651,,IND,W 133-103,135.7,.183,.452,.662,.651,.129,105.1,.250,.359,.504,.473,.174
104,MIA,2022-03-28,.650,,SAC,W 123-100,127.9,.067,.444,.664,.650,.067,104.0,.222,.432,.562,.531,.173
105,MIN,2022-01-07,.650,@,OKC,W 135-105,129.3,.278,.456,.668,.650,.200,100.5,.258,.494,.530,.489,.202
106,CLE,2021-11-07,.650,@,NYK,W 126-109,130.7,.122,.389,.664,.650,.100,113.1,.282,.365,.570,.512,.259
107,LAC,2022-04-10,.649,,OKC,W 138-88,142.5,.144,.361,.669,.649,.124,90.9,.092,.347,.432,.423,.051
108,CHO,2022-02-11,.649,@,DET,W 141-119,129.4,.237,.433,.658,.649,.155,109.2,.176,.343,.541,.529,.108
109,PHO,2022-01-16,.649,@,DET,W 135-108,134.2,.345,.310,.674,.649,.253,107.3,.415,.305,.557,.518,.280
110,BRK,2022-03-18,.649,,POR,W 128-123,129.0,.429,.325,.699,.649,.364,123.9,.250,.365,.577,.568,.146
111,ATL,2022-03-13,.649,,IND,W 131-128,136.0,.286,.452,.693,.649,.262,132.9,.292,.393,.637,.601,.236
112,UTA,2022-02-25,.649,,DAL,W 114-109,124.4,.297,.514,.681,.649,.243,118.9,.091,.443,.595,.574,.091
113,CHO,2022-03-14,.648,@,OKC,W 134-116,136.1,.231,.385,.668,.648,.176,117.8,.211,.489,.590,.556,.178
114,MIN,2021-11-20,.648,,MEM,W 138-95,143.2,.308,.451,.668,.648,.220,98.6,.422,.386,.483,.404,.337
115,DEN,2022-04-03,.646,@,LAL,W 129-118,125.8,.354,.378,.681,.646,.280,115.1,.228,.217,.583,.565,.152
116,HOU,2022-01-12,.646,@,SAS,W 128-124,120.0,.390,.439,.666,.646,.268,116.3,.273,.465,.559,.520,.212
117,SAS,2022-02-04,.646,,HOU,W 131-106,132.5,.225,.315,.670,.646,.180,107.2,.349,.398,.553,.500,.277
118,ATL,2022-03-28,.645,@,IND,W 132-123,138.3,.302,.407,.677,.645,.244,128.9,.207,.414,.648,.615,.184
119,DEN,2022-02-24,.645,@,SAC,W 128-110,123.3,.233,.407,.675,.645,.198,105.9,.209,.337,.586,.552,.174
